id,name,location,card_price,time,display,stage
77859,Lindy Fridays,Carriageworks Theatre,,2023-04-21 19:00:00,,
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-04-22 11:00:00,True,['Published/Will be']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-04-23 12:00:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-24 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-24 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-04-24 17:30:00,True,['Published/Will be']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-04-24 19:10:00,,
76580,Library Socials,Various Locations,Free,2023-04-25 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-25 09:00:00,True,['Published/Will be']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-04-25 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-26 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-04-26 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-04-26 11:30:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-04-26 19:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-27 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-27 09:00:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-28 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-28 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-04-28 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-04-28 13:30:00,True,['Published/Will be']
81663,Circus Skills for All Ages & Abilities,Harehills Lane Baptist Church,From £9.50,2023-04-28 16:30:00,True,['Published/Will be']
