News Date,News Headline,Contact Name,Outlet Name,Outlet Type,Audience Reach,UV*,Tone,Medium,Custom Tags,News Company Mentions
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 16:19:11.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC London News,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,BBC News at One,,BBC One North West,Television station,916001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC News Channel,Television station,505000,,NEU,Broadcast,National; Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC Cymru Wales,Television station,1145001,,NEU,Broadcast,,Leeds 2023
2022-09-26,BBC News at One,,BBC 1 Oxford,Television station,229000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One North East & Cumbria,Television station,802000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC London,Television station,5001000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One Yorks & Lincs,Television station,870001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One East Midlands,Television station,687000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One South,Television station,687000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC London,Television station,0,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One South West,Television station,458000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC1 Cambridge,Television station,0,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC Scotland,Television station,1833000,,NEU,Broadcast,National,Leeds 2023
2022-09-26,BBC News at One,,BBC One East,Television station,412000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC West Midlands,Television station,458000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC Northern Ireland,Television station,687000,,NEU,Broadcast,,Leeds 2023
2022-09-26,Breakfast,,BBC One South East,Television station,916001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Channel Islands,Television station,0,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One South,Television station,687000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC 1 Oxford,Television station,229000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC West Midlands,Television station,458000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC London,Television station,0,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorkshire,Television station,824001,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Channel Islands,Television station,0,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC News Channel,Television station,505000,,POS,Broadcast,National; Regional,Leeds 2023
2022-09-26,Breakfast,,BBC London,Television station,5001000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-26,Breakfast,,BBC One Yorks & Lincs,Television station,870001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Breakfast,,BBC Scotland,Television station,1833000,,POS,Broadcast,National,Leeds 2023
2022-09-26,Breakfast,,BBC One West,Television station,687000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:22:06.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Sheffield at 2022-09-25 19:17:36.000,,BBC Radio Sheffield,Radio station,75000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:17:03.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:06:59.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Sheffield at 2022-09-25 19:02:30.000,,BBC Radio Sheffield,Radio station,75000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Leeds 2023 announces initial programme ,,The Stage Newsletter ,,9489,,POS,Online ,Trade,
2022-09-26,Newsletter,,Insider Daily (Yorkshire) Newsletter,Newspaper,0,,NEU,Newspaper,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One North East & Cumbria,Television station,802000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC1 Cambridge,Television station,0,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One South West,Television station,458000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One North East & Cumbria,Television station,802000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One East Midlands,Television station,687000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One North West,Television station,916001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC West Midlands,Television station,458000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC1 Cambridge,Television station,0,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One South West,Television station,458000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorks & Lincs,Television station,870001,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC London,Television station,0,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC London,Television station,5001000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorkshire,Television station,824001,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One East,Television station,412000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC 1 Oxford,Television station,229000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC News Channel,Television station,505000,,POS,Broadcast,National; Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorks & Lincs,Television station,870001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Breakfast,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Breakfast,,BBC Northern Ireland,Television station,687000,,POS,Broadcast,,Leeds 2023
2022-09-26,Breakfast,,BBC One North West,Television station,916001,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One South,Television station,687000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One South East,Television station,916001,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC Cymru Wales,Television station,1145001,,POS,Broadcast,,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorks & Lincs,Television station,870001,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC Scotland,Television station,1833000,,POS,Broadcast,National,Leeds 2023
2022-09-27,Leeds is officially out of the running for Eurovision Song Contest 2023,,"Hoot, The","Online, consumer",0,5000.0,POS,Online,National,
2022-09-27,Leeds ruled out of race to host Eurovision 2023 as two cities shortlisted,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,Local,Leeds 2023
2022-09-27,Radio clip from BBC Jersey at 2022-09-27 10:30:16.000,,BBC Radio Jersey,Radio station,10000,,POS,Broadcast,Regional,Leeds 2023
2022-09-27,LEEDS 2023 opening show- enter the ticket ballot!,Emma Murrell,Doinggoodleeds.org,"Online, consumer",0,,POS,Online,,Leeds 2023; The Awakening
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 09:53:14.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-27,Update expected on host shortlist,,BBC News Online,"Online, consumer",0,24207801.0,POS,Online,National,
2022-09-27,Eurovision 2023: Update expected on host shortlist,https://www.facebook.com/bbcnews,BBC News Online,"Online, consumer",0,24207801.0,POS,Online,National,
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 07:51:38.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 07:08:38.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-27,White Rose Shopping Centre Archives,,South Leeds Life,"Online, consumer",0,1687.0,POS,Online,Local,Leeds 2023
2022-09-27,Radio clip from BBC Leeds at 2022-09-26 19:41:41.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-27,Radio clip from BBC Jersey at 2022-09-27 09:19:19.000,,BBC Radio Jersey,Radio station,10000,,POS,Broadcast,Regional,Leeds 2023
2022-09-27,Radio clip from BBC Leeds at 2022-09-26 19:05:43.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,
2022-09-28,Eurovision bid fails for Leeds,Abbey Maclure,Yorkshire Evening Post,"Newspaper, community",36512,,POS,Newspaper,Local,Leeds 2023
2022-09-28,Leeds 2023 programme revealed,,ArtsProfessional,"Online, consumer",0,13218.0,POS,Online,National,Leeds 2023; The Awakening
2022-09-28,eNews 28 September,,Forstaff main index,"Online, consumer",0,,POS,Online,Local,Leeds 2023
2022-09-29,24 Big Changes in the Pipeline for Leeds,,Leeds-List.com,"Online, consumer",0,27124.0,POS,Online,Local,Leeds 2023
2022-09-29,Get creative to win tickets to The Awakening,,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,POS,Online,Regional,Leeds 2023; The Awakening
2022-09-29,Get creative to win tickets to The Awakening,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,Local,Leeds 2023; The Awakening
2022-09-29,Gabby Logan's favourite Yorkshire view,Kathryn Armstrong,hertfordshire.greatbritishlife.co.uk,"Online, consumer",0,500.0,POS,Online,Regional,Leeds 2023
2022-10-01,Leeds Art Gallery’s landmark exhibition puts city’s artists in the frame,,Asian Voice,"Newspaper, community",18000,,POS,Newspaper,,Leeds 2023
2022-10-01,Leeds Art Gallery's Landmark Exhibition,,Yorkshire Reporter Online,"Online, consumer",0,939.0,POS,Online,Regional,Leeds 2023
2022-10-02,Gabby Logan's favourite Yorkshire view,Kathryn Armstrong,Devon Life (Online),"Online, consumer",0,11673.0,POS,Online,Regional,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,Local,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,Usa Jaun News,"Online, consumer",0,,POS,Online,,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,ManchesterWorld,"Online, consumer",0,106069.0,POS,Online,Regional,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,Sheffield Star,"Online, consumer",0,134423.0,POS,Online,Regional,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,POS,Online,Regional,Leeds 2023
2022-10-02,"The Jamaica Society Leeds reveals ""Out of Many Lit"" programme",,Repeating Islands,"Blog, consumer",0,,POS,Online,International,Leeds 2023
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,,Newcastle World,"Online, consumer",0,,POS,Online,Regional,Leeds 2023
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,VNExplorer,Vietname Explorer,"Online, consumer",0,204240.0,NEU,Online,,Leeds 2023
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design -,,UK Tech News,"Online, consumer",0,5000.0,NEU,Online,,Leeds 2023
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,Millie Page,North East Connected,"Online, consumer",0,30524.0,NEU,Online,Regional,Leeds 2023
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,24HTECH.ASIA,24HTECH,"Online, consumer",0,43253.0,NEU,Online,,Leeds 2023
2022-10-06,Contact at 50: the Manchester theatre that is a beacon for young people,Lyn Gardner,"Stage, The","Magazine, consumer",9489,,POS,Magazine,,Leeds 2023
2022-10-06,Bruntwood named headline sponsor,,"Yorkshire Post, The","Newspaper, community",21817,,POS,Newspaper,Regional,Leeds 2023
2022-10-07,Volunteering in Leeds,,"Gryphon - www.thegryphon.co.uk, The","Online, consumer",0,12178.0,POS,Online,,Leeds 2023
2022-10-07,'Police had said they are perfectly legal': Birdbox disguised as a speed camera spotted on Meanwood Road,YorkshireEveningPost,Head Topics,"Online, consumer",0,,POS,Online,,Leeds 2023
2022-10-07,Artists install bird box disguised as a speed camera on Yorkshire street with 30mph limit,,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,NEU,Online,Regional,Leeds 2023
2022-10-07,Relighting community bonfire nights,Jeremy Morton,South Leeds Life,"Online, consumer",0,1687.0,NEU,Online,,Leeds 2023
2022-10-08,'Speed camera' puts brakes on drivers,Charles Gray,Yorkshire Evening Post,"Newspaper, community",36512,,NEU,Newspaper,,Leeds 2023
2022-10-08,Birdbox disguised as a speed camera spotted on Meanwood Road,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,NEU,Online,,Leeds 2023
2022-10-11,Volunteering in Leeds - The Gryphon,,"Gryphon - www.thegryphon.co.uk, The","Online, consumer",0,12178.0,POS,Online,,Leeds 2023
2022-10-13,RLWC Cultural Festival | The Power of Performance: This is Us,,HAPPENINGNEXT,"Online, consumer",0,,POS,Online,,Leeds 2023
2022-10-13,Yorkshire: The UK's County of Culture,,"Gryphon - www.thegryphon.co.uk, The","Online, consumer",0,12178.0,NEU,Online,,Leeds 2023; The Awakening
2022-10-14,"Investing in sport and culture can transform Yorkshire's economy, Turner & Townsend roundtable is told",,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,POS,Online,,Leeds 2023
2022-10-17,Chef Liz Cottam shares inspiration as spectacular Headingley Stadium event tickets up for grabs,YorkshireEveningPost,Head Topics,"Online, consumer",0,,NEU,Online,,Leeds 2023; The Awakening
2022-10-17,Chef Liz Cottam shares inspiration as spectacular Headingley Stadium event tickets up for grabs,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,,Leeds 2023; Leeds 2023 tickets; Leeds ticket ballot; The Awakening
